p_adx_min,p_macd_hist_min,p_rsi_oversold,p_rsi_overbought,p_atr_regime_ratio,p_enable_momentum_entry,p_cooldown_bars,p_allow_overlap,p_allow_reverse,p_stop_loss_atr,p_trail_activation_atr,p_trail_distance_atr,p_take_profit_atr,p_breakeven_atr,p_leverage,p_margin_pct,p_reduced_margin_pct,p_dd_soft_pct,p_dd_halt_pct,p_dd_resume_pct,trades,wr,pf,sharpe,roi,dd,consecL,halt_bars
10.0,5.0,40,60,0.5,True,0,False,False,1.2,0.8,0.3,14.0,0.75,1,0.05,0.025,8.0,100.0,100.0,32,50.0,0.9906139771580127,-0.1078894033400331,-0.01108134649832209,0.4121629499430713,3,0
10.0,5.0,40,60,0.5,True,0,False,False,1.2,0.8,0.3,14.0,0.75,1,0.05,0.025,8.0,20.0,12.0,32,50.0,0.9906139771580127,-0.1078894033400331,-0.01108134649832209,0.4121629499430713,3,0
10.0,5.0,40,60,0.5,True,0,False,False,1.2,0.8,0.3,14.0,0.75,1,0.05,0.025,8.0,15.0,8.0,32,50.0,0.9906139771580127,-0.1078894033400331,-0.01108134649832209,0.4121629499430713,3,0
10.0,5.0,40,60,0.5,True,0,False,False,1.2,0.8,0.3,14.0,0.75,1,0.05,0.025,12.0,100.0,100.0,32,50.0,0.9906139771580127,-0.1078894033400331,-0.01108134649832209,0.4121629499430713,3,0
10.0,5.0,40,60,0.5,True,0,False,False,1.2,0.8,0.3,14.0,0.75,1,0.05,0.025,12.0,20.0,12.0,32,50.0,0.9906139771580127,-0.1078894033400331,-0.01108134649832209,0.4121629499430713,3,0
10.0,5.0,40,60,0.5,True,0,False,False,1.2,0.8,0.3,14.0,0.75,1,0.05,0.025,12.0,15.0,8.0,32,50.0,0.9906139771580127,-0.1078894033400331,-0.01108134649832209,0.4121629499430713,3,0
10.0,5.0,40,60,0.5,True,0,False,False,1.2,0.8,0.3,14.0,0.75,1,0.1,0.05,8.0,100.0,100.0,409,57.457212713936435,1.5213095020423946,1.1034907754307384,12.476641846562543,1.2961553171584543,5,0
10.0,5.0,40,60,0.5,True,0,False,False,1.2,0.8,0.3,14.0,0.75,1,0.1,0.05,8.0,20.0,12.0,409,57.457212713936435,1.5213095020423946,1.1034907754307384,12.476641846562543,1.2961553171584543,5,0
10.0,5.0,40,60,0.5,True,0,False,False,1.2,0.8,0.3,14.0,0.75,1,0.1,0.05,8.0,15.0,8.0,409,57.457212713936435,1.5213095020423946,1.1034907754307384,12.476641846562543,1.2961553171584543,5,0
10.0,5.0,40,60,0.5,True,0,False,False,1.2,0.8,0.3,14.0,0.75,1,0.1,0.05,12.0,100.0,100.0,409,57.457212713936435,1.5213095020423946,1.1034907754307384,12.476641846562543,1.2961553171584543,5,0
